name,blockNumber,timestamp,timeSpent,size,difficulty,totalDifficulty
win4,1,1613473263,0,537,4192256,8386560
win4,2,1613473449,186,537,4190209,12576769
win4,3,1613473469,20,537,4188163,16764932
win4,4,1613473504,35,537,4186118,20951050
win4,5,1613473505,1,537,4188162,25139212
win4,6,1613473533,28,537,4186117,29325329
win4,7,1613473542,9,537,4188161,33513490
win4,8,1613473557,15,537,4186116,37699606
win4,9,1613473561,4,537,4188160,41887766
win4,10,1613473568,7,537,4190205,46077971
win4,11,1613473599,31,537,4188160,50266131
win4,12,1613473645,46,537,4186115,54452246
win4,13,1613473669,24,537,4184071,58636317
win4,14,1613473770,101,537,4182028,62818345
win4,15,1613473776,6,537,4184070,67002415
win4,16,1613473815,39,537,4182027,71184442
win4,17,1613473819,4,537,4184069,75368511
win4,18,1613473853,34,537,4182026,79550537
win4,19,1613473856,3,537,4184068,83734605
win4,20,1613473908,52,537,4182025,87916630
win4,21,1613473929,21,537,4179983,92096613
win4,22,1613473953,24,537,4177942,96274555
win4,23,1613473961,8,537,4179982,100454537
win4,24,1613474006,45,537,4177941,104632478
win4,25,1613474173,167,537,4175901,108808379
win4,26,1613474261,88,537,4173862,112982241
win4,27,1613474285,24,537,4171824,117154065
win4,28,1613474291,6,537,4173861,121327926
win4,29,1613474293,2,537,4175899,125503825
win4,30,1613474302,9,537,4177938,129681763
win4,31,1613474304,2,537,4179978,133861741
win4,32,1613474334,30,537,4177937,138039678
win4,33,1613474337,3,537,4179977,142219655
win4,34,1613474343,6,537,4182018,146401673
win4,35,1613474365,22,537,4179976,150581649
win4,36,1613474368,3,537,4182017,154763666
win4,37,1613474393,25,537,4179975,158943641
win4,38,1613474420,27,537,4177934,163121575
win4,39,1613474447,27,537,4175894,167297469
win4,40,1613474449,2,537,4177933,171475402
win4,41,1613474473,24,537,4175893,175651295
win4,42,1613474485,12,537,4177932,179829227
win4,43,1613474502,17,537,4175892,184005119
win4,44,1613474552,50,537,4173853,188178972
win4,45,1613474609,57,537,4171815,192350787
win4,46,1613474612,3,537,4173852,196524639
win4,47,1613474626,14,537,4171814,200696453
win4,48,1613474627,1,537,4173851,204870304
win4,49,1613474632,5,537,4175889,209046193
win4,50,1613474640,8,537,4177928,213224121
win4,51,1613474711,71,537,4175888,217400009
win4,52,1613474712,1,537,4177927,221577936
win4,53,1613474746,34,537,4175887,225753823
win4,54,1613474757,11,537,4177926,229931749
win4,55,1613474762,5,537,4179966,234111715
win4,56,1613474771,9,537,4182006,238293721
win4,57,1613474806,35,537,4179965,242473686
win4,58,1613474832,26,537,4177925,246651611
win4,59,1613474844,12,537,4179965,250831576
win4,60,1613474877,33,537,4177925,255009501
win4,61,1613474971,94,537,4175885,259185386
win4,62,1613474983,12,537,4177924,263363310
win4,63,1613474995,12,537,4179964,267543274
