name,blockNumber,timestamp,timeSpent,size,difficulty,totalDifficulty
win3,1,1613134487,0,537,4192256,8386560
win3,2,1613134508,21,537,4190209,12576769
win3,3,1613134529,21,537,4188163,16764932
win3,4,1613134537,8,537,4190208,20955140
win3,5,1613134547,10,537,4192254,25147394
win3,6,1613134571,24,537,4190208,29337602
win3,7,1613134649,78,537,4188162,33525764
win3,8,1613134715,66,537,4186117,37711881
win3,9,1613134727,12,537,4188161,41900042
win3,10,1613134737,10,537,4190206,46090248
win3,11,1613134779,42,537,4188161,50278409
win3,12,1613134802,23,537,4186116,54464525
win3,13,1613134822,20,537,4184072,58648597
win3,14,1613134835,13,537,4182029,62830626
win3,15,1613134852,17,537,4179987,67010613
win3,16,1613134858,6,537,4182028,71192641
win3,17,1613134933,75,537,4179986,75372627
win3,18,1613134957,24,537,4177945,79550572
win3,19,1613134960,3,537,4179985,83730557
win3,20,1613134992,32,537,4177944,87908501
win3,21,1613135009,17,537,4175904,92084405
win3,22,1613135012,3,537,4177943,96262348
win3,23,1613135029,17,537,4175903,100438251
win3,24,1613135046,17,537,4173864,104612115
win3,25,1613135051,5,537,4175902,108788017
win3,26,1613135059,8,537,4177941,112965958
win3,27,1613135078,19,537,4175901,117141859
win3,28,1613135109,31,537,4173862,121315721
win3,29,1613135197,88,537,4171824,125487545
win3,30,1613135201,4,537,4173861,129661406
win3,31,1613135216,15,537,4171823,133833229
win3,32,1613135235,19,537,4169786,138003015
win3,33,1613135236,1,537,4171822,142174837
win3,34,1613135245,9,537,4173859,146348696
win3,35,1613135257,12,537,4175897,150524593
win3,36,1613135260,3,537,4177936,154702529
win3,37,1613135380,120,537,4175896,158878425
win3,38,1613135384,4,537,4177935,163056360
win3,39,1613135426,42,537,4175895,167232255
win3,40,1613135470,44,537,4173856,171406111
win3,41,1613135540,70,537,4171818,175577929
win3,42,1613135668,128,537,4169781,179747710
win3,43,1613135686,18,537,4167745,183915455
win3,44,1613135692,6,537,4169780,188085235
win3,45,1613135693,1,537,4171816,192257051
win3,46,1613135731,38,537,4169779,196426830
win3,47,1613135850,119,537,4167743,200594573
win3,48,1613135859,9,537,4169778,204764351
win3,49,1613135965,106,537,4167742,208932093
win3,50,1613135993,28,537,4165707,213097800
win3,51,1613136000,7,537,4167741,217265541
win3,52,1613136017,17,537,4165706,221431247
win3,53,1613136049,32,537,4163672,225594919
win3,54,1613136075,26,537,4161639,229756558
win3,55,1613136101,26,537,4159607,233916165
win3,56,1613136112,11,537,4161638,238077803
win3,57,1613136153,41,537,4159606,242237409
win3,58,1613136188,35,537,4157575,246394984
win3,59,1613136211,23,537,4155545,250550529
win3,60,1613136263,52,537,4153516,254704045
win3,61,1613136305,42,537,4151488,258855533
win3,62,1613136375,70,537,4149461,263004994
win3,63,1613136577,202,537,4147435,267152429
win3,64,1613136580,3,537,4149460,271301889
win3,65,1613136628,48,537,4147434,275449323
win3,66,1613136641,13,537,4145409,279594732
win3,67,1613136644,3,537,4147433,283742165
win3,68,1613136656,12,537,4149458,287891623
win3,69,1613136759,103,537,4147432,292039055
win3,70,1613136775,16,537,4145407,296184462
