name,blockNumber,timestamp,timeSpent,size,difficulty,totalDifficulty
win2,1,1613131208,0,537,4192256,8386560
win2,2,1613131296,88,537,4190209,12576769
win2,3,1613131306,10,537,4192255,16769024
win2,4,1613131320,14,537,4190209,20959233
win2,5,1613131510,190,537,4188163,25147396
win2,6,1613131558,48,537,4186118,29333514
win2,7,1613131665,107,537,4184074,33517588
win2,8,1613131819,154,537,4182031,37699619
win2,9,1613131854,35,537,4179989,41879608
win2,10,1613132038,184,537,4177948,46057556
win2,11,1613132056,18,537,4175908,50233464
win2,12,1613132078,22,537,4173869,54407333
win2,13,1613132171,93,537,4171831,58579164
win2,14,1613132175,4,537,4173868,62753032
win2,15,1613132249,74,537,4171830,66924862
win2,16,1613132478,229,537,4169793,71094655
win2,17,1613132509,31,537,4167757,75262412
win2,18,1613132540,31,537,4165722,79428134
win2,19,1613132554,14,537,4163688,83591822
win2,20,1613132565,11,537,4165721,87757543
win2,21,1613132644,79,537,4163687,91921230
win2,22,1613132656,12,537,4165720,96086950
win2,23,1613132664,8,537,4167754,100254704
win2,24,1613132762,98,537,4165719,104420423
win2,25,1613132793,31,537,4163685,108584108
win2,26,1613132794,1,537,4165718,112749826
win2,27,1613132809,15,537,4163684,116913510
win2,28,1613132832,23,537,4161651,121075161
win2,29,1613132862,30,537,4159619,125234780
win2,30,1613132901,39,537,4157588,129392368
win2,31,1613132914,13,537,4155558,133547926
win2,32,1613133081,167,537,4153529,137701455
win2,33,1613133108,27,537,4151501,141852956
win2,34,1613133160,52,537,4149474,146002430
win2,35,1613133350,190,537,4147448,150149878
win2,36,1613133436,86,537,4145423,154295301
win2,37,1613133602,166,537,4143399,158438700
win2,38,1613133728,126,537,4141376,162580076
win2,39,1613133744,16,537,4139354,166719430
win2,40,1613133763,19,537,4137333,170856763
win2,41,1613133782,19,537,4135313,174992076
win2,42,1613133837,55,537,4133294,179125370
win2,43,1613133882,45,537,4131276,183256646
win2,44,1613134012,130,537,4129259,187385905
win2,45,1613134108,96,537,4127243,191513148
win2,46,1613134117,9,537,4129258,195642406
win2,47,1613134137,20,537,4127242,199769648
win2,48,1613134143,6,537,4129257,203898905
win2,49,1613134162,19,537,4127241,208026146
win2,50,1613134207,45,537,4125226,212151372
win2,51,1613134230,23,537,4123212,216274584
