action,attribute,txGas,blockGas,time
Devices.registerDevice,,6721975,381963,1346
Devices.updateDeviceLocation,same,6721975,205515,845
Devices.updateDeviceLocation,different,6721975,218038,879
Devices.updateDeviceServices,,6721975,70327,655
Devices.updateDeviceIPs,,6721975,64953,728
