action,attribute,txGas,blockGas,time
Regions.registerRegion,1,6721975,155733,312
Regions.addRegionCells,id=1;length=57,6721975,1343815,1362
Regions.registerRegion,2,6721975,125867,424
Regions.addRegionCells,id=2;length=9,6721975,251268,477
Regions.registerRegion,3,6721975,125927,483
Regions.addRegionCells,id=3;length=17,6721975,433320,578
Regions.registerRegion,4,6721975,166306,487
Regions.addRegionCells,id=4;length=11,6721975,254470,434
Regions.registerRegion,5,6721975,125891,393
Regions.addRegionCells,id=5;length=19,6721975,436415,672
Regions.registerRegion,6,6721975,125903,452
Regions.addRegionCells,id=6;length=23,6721975,553053,943
Regions.registerRegion,7,6721975,125687,526
Regions.addRegionCells,id=7;length=29,6721975,685276,1016
Regions.registerRegion,8,6721975,125687,502
Regions.addRegionCells,id=8;length=29,6721975,668502,1417
