action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,955107,14375
devices.registerDevice,,6721975,959451,14706
devices.registerDevice,,6721975,1081257,15667
devices.registerDevice,,6721975,1068242,14921
devices.registerDevice,,6721975,1102968,15663
devices.registerDevice,,6721975,1117075,15562
devices.registerDevice,,6721975,1072598,16096
devices.registerDevice,,6721975,1085623,15078
devices.registerDevice,,6721975,1081289,15375
devices.registerDevice,,6721975,1094314,15601
devices.registerDevice,,6721975,1120361,16266
devices.registerDevice,,6721975,1107346,16258
devices.registerDevice,,6721975,1142073,16514
devices.registerDevice,,6721975,1120376,16221
devices.registerDevice,,6721975,1015938,15305
devices.registerDevice,,6721975,1160502,16694
devices.registerDevice,,6721975,1024629,15846
devices.registerDevice,,6721975,1028962,15730
devices.registerDevice,,6721975,1159467,16713
devices.registerDevice,,6721975,1150792,16884
devices.registerDevice,,6721975,1186603,17230
devices.registerDevice,,6721975,1163824,16861
devices.registerDevice,,6721975,1050703,15388
devices.registerDevice,,6721975,1159496,16751
devices.registerDevice,,6721975,1059395,16113
devices.registerDevice,,6721975,1063740,16185
devices.registerDevice,,6721975,1198577,17787
devices.registerDevice,,6721975,1194244,17536
devices.registerDevice,,6721975,1220293,17979
devices.registerDevice,,6721975,1228981,18057
devices.registerDevice,,6721975,1173871,17379
devices.registerDevice,,6721975,1198607,17813
devices.registerDevice,,6721975,1188882,17827
devices.registerDevice,,6721975,1202960,17581
devices.registerDevice,,6721975,1256107,18591
devices.registerDevice,,6721975,1233357,17715
devices.registerDevice,,6721975,1111550,16826
devices.registerDevice,,6721975,1264837,18809
devices.registerDevice,,6721975,1120243,17367
devices.registerDevice,,6721975,1282183,18482
devices.registerDevice,,6721975,1229048,17762
devices.registerDevice,,6721975,1133271,17467
devices.updateDeviceLocation,,6721975,377407,2642
devices.updateDeviceLocation,,6721975,329940,3476
devices.updateDeviceLocation,,6721975,312563,2331
devices.updateDeviceLocation,,6721975,289181,2752
