action,attribute,txGas,blockGas,time
Regions.registerRegion,1,6721975,137979,5420
Regions.addRegionCells,id=1;length=64,6721975,2178037,5816
Regions.addRegionCells,id=1;length=9,6721975,746182,5105
Regions.registerRegion,2,6721975,125827,334
Regions.addRegionCells,id=2;length=5,6721975,276349,970
Regions.registerRegion,3,6721975,128651,471
Regions.addRegionCells,id=3;length=7,6721975,335263,1111
Regions.registerRegion,4,6721975,171794,569
Regions.addRegionCells,id=4;length=4,6721975,231493,847
Regions.registerRegion,5,6721975,134143,521
Regions.addRegionCells,id=5;length=6,6721975,314816,1020
Regions.registerRegion,6,6721975,136919,601
Regions.addRegionCells,id=6;length=12,6721975,499667,1545
Regions.registerRegion,7,6721975,139467,542
Regions.addRegionCells,id=7;length=17,6721975,684776,1937
Regions.registerRegion,8,6721975,142231,459
Regions.addRegionCells,id=8;length=22,6721975,839466,2230
