action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,1197308,16042
devices.registerDevice,,6721975,1220485,14367
devices.registerDevice,,6721975,1241916,16588
devices.registerDevice,,6721975,1376992,16051
devices.registerDevice,,6721975,1400755,15487
devices.registerDevice,,6721975,1392210,15705
devices.registerDevice,,6721975,1201070,15325
devices.registerDevice,,6721975,1266889,16216
devices.registerDevice,,6721975,1236410,15572
devices.registerDevice,,6721975,1413933,16319
devices.registerDevice,,6721975,1274517,15752
devices.registerDevice,,6721975,1425870,15641
devices.registerDevice,,6721975,1439859,16051
devices.registerDevice,,6721975,1782691,16912
devices.registerDevice,,6721975,1240174,16414
devices.registerDevice,,6721975,1272263,17101
devices.registerDevice,,6721975,1279855,17278
devices.registerDevice,,6721975,1468115,16810
devices.registerDevice,,6721975,1312528,16575
devices.registerDevice,,6721975,1463882,17065
devices.registerDevice,,6721975,1476730,17352
devices.registerDevice,,6721975,1821798,17651
devices.registerDevice,,6721975,1279281,16936
devices.registerDevice,,6721975,1340762,16848
devices.registerDevice,,6721975,1318964,16715
devices.registerDevice,,6721975,1335682,16344
devices.registerDevice,,6721975,1352731,17971
devices.registerDevice,,6721975,1502992,18028
devices.registerDevice,,6721975,1522416,18976
devices.registerDevice,,6721975,1860907,19323
devices.registerDevice,,6721975,1318392,17097
devices.registerDevice,,6721975,1367194,16910
devices.registerDevice,,6721975,1358076,18351
devices.registerDevice,,6721975,1372558,17153
devices.registerDevice,,6721975,1373299,19157
devices.registerDevice,,6721975,1559372,17893
devices.registerDevice,,6721975,1559307,18445
devices.registerDevice,,6721975,1900022,19557
devices.registerDevice,,6721975,1357507,18792
devices.registerDevice,,6721975,1414647,18546
devices.registerDevice,,6721975,1401533,19619
devices.registerDevice,,6721975,1418250,18312
devices.registerDevice,,6721975,1425523,17575
devices.registerDevice,,6721975,1576882,18641
devices.registerDevice,,6721975,1604976,18918
devices.updateDeviceLocation,,6721975,733657,4177
devices.updateDeviceLocation,,6721975,1202251,4809
devices.updateDeviceLocation,,6721975,854590,4181
devices.updateDeviceLocation,,6721975,861183,4282
devices.updateDeviceLocation,,6721975,697441,1594
devices.updateDeviceLocation,,6721975,770224,4453
devices.updateDeviceLocation,,6721975,1143880,5147
devices.updateDeviceLocation,,6721975,333677,1263
devices.updateDeviceLocation,,6721975,1220109,4949
devices.updateDeviceLocation,,6721975,523450,3350
devices.updateDeviceLocation,,6721975,705099,1714
devices.updateDeviceLocation,,6721975,1352087,5910
devices.updateDeviceLocation,,6721975,693160,5020
devices.updateDeviceLocation,,6721975,916165,3823
devices.updateDeviceLocation,,6721975,839462,4085
devices.updateDeviceLocation,,6721975,732477,4433
devices.updateDeviceLocation,,6721975,1266910,5351
devices.updateDeviceLocation,,6721975,760843,5228
devices.updateDeviceLocation,,6721975,1421364,5830
devices.updateDeviceLocation,,6721975,439263,1469
devices.updateDeviceLocation,,6721975,822411,4216
devices.updateDeviceLocation,,6721975,778061,4339
devices.updateDeviceLocation,,6721975,1252078,5575
devices.updateDeviceLocation,,6721975,876864,4601
devices.updateDeviceLocation,,6721975,1428205,6284
devices.updateDeviceLocation,,6721975,893977,4533
devices.updateDeviceLocation,,6721975,1463238,5395
devices.updateDeviceLocation,,6721975,1043790,4476
devices.updateDeviceLocation,,6721975,1272406,6034
devices.updateDeviceLocation,,6721975,946530,4138
devices.updateDeviceLocation,,6721975,1401121,5407
devices.updateDeviceLocation,,6721975,1204803,6016
devices.updateDeviceLocation,,6721975,950868,4281
devices.updateDeviceLocation,,6721975,668476,4143
devices.updateDeviceLocation,,6721975,1444543,5489
devices.updateDeviceLocation,,6721975,466488,2698
devices.updateDeviceLocation,,6721975,1413494,5581
devices.updateDeviceLocation,,6721975,1436083,3623
devices.updateDeviceLocation,,6721975,469661,1915
devices.updateDeviceLocation,,6721975,1334193,5533
devices.updateDeviceLocation,,6721975,1216932,5495
devices.updateDeviceLocation,,6721975,689463,4350
devices.updateDeviceLocation,,6721975,1089841,5605
devices.updateDeviceLocation,,6721975,1207725,6643
devices.updateDeviceLocation,,6721975,705099,2039
devices.updateDeviceLocation,,6721975,681458,5012
devices.updateDeviceLocation,,6721975,663811,4167
devices.updateDeviceLocation,,6721975,1241055,6003
devices.updateDeviceLocation,,6721975,831111,4427
devices.updateDeviceLocation,,6721975,1315002,6001
devices.updateDeviceLocation,,6721975,1415330,6108
devices.updateDeviceLocation,,6721975,676599,4468
devices.updateDeviceLocation,,6721975,909374,4450
devices.updateDeviceLocation,,6721975,1422955,3095
devices.updateDeviceLocation,,6721975,1328899,6012
devices.updateDeviceLocation,,6721975,441336,2591
devices.updateDeviceLocation,,6721975,739216,4030
devices.updateDeviceLocation,,6721975,1075358,4041
devices.updateDeviceLocation,,6721975,741747,2212
devices.updateDeviceLocation,,6721975,334771,1242
devices.updateDeviceLocation,,6721975,1220748,5283
devices.updateDeviceLocation,,6721975,842032,4212
devices.updateDeviceLocation,,6721975,897334,4801
devices.updateDeviceLocation,,6721975,698535,1725
devices.updateDeviceLocation,,6721975,333677,1274
devices.updateDeviceLocation,,6721975,926727,4378
devices.updateDeviceLocation,,6721975,855853,4797
devices.updateDeviceLocation,,6721975,828295,4513
devices.updateDeviceLocation,,6721975,713508,4102
devices.updateDeviceLocation,,6721975,788161,4205
devices.updateDeviceLocation,,6721975,1076826,4571
