action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,819625,1247
devices.registerDevice,,6721975,419326,1537
devices.registerDevice,,6721975,490096,1870
devices.registerDevice,,6721975,481675,1321
devices.registerDevice,,6721975,538754,1731
devices.registerDevice,,6721975,564432,1744
devices.registerDevice,,6721975,622705,2008
devices.registerDevice,,6721975,652371,2286
devices.registerDevice,,6721975,844780,2537
devices.registerDevice,,6721975,462731,2245
devices.registerDevice,,6721975,514263,1951
devices.registerDevice,,6721975,505710,2395
devices.registerDevice,,6721975,563790,2613
devices.registerDevice,,6721975,588588,2768
devices.registerDevice,,6721975,645605,2526
devices.registerDevice,,6721975,678398,2635
devices.registerDevice,,6721975,882694,3026
devices.registerDevice,,6721975,497530,2681
devices.registerDevice,,6721975,552165,2787
devices.registerDevice,,6721975,548117,3419
devices.registerDevice,,6721975,600970,2984
devices.registerDevice,,6721975,626637,2930
devices.registerDevice,,6721975,682919,3660
devices.registerDevice,,6721975,716315,3297
devices.registerDevice,,6721975,922857,3503
devices.registerDevice,,6721975,536437,3438
devices.registerDevice,,6721975,592220,3432
devices.registerDevice,,6721975,581797,3549
devices.registerDevice,,6721975,642993,3857
devices.registerDevice,,6721975,666547,3631
devices.registerDevice,,6721975,726065,3814
devices.registerDevice,,6721975,755356,3885
devices.registerDevice,,6721975,960777,4498
devices.registerDevice,,6721975,576483,3988
devices.registerDevice,,6721975,631263,4161
devices.registerDevice,,6721975,621832,4271
devices.registerDevice,,6721975,680915,4371
devices.registerDevice,,6721975,704724,4239
devices.registerDevice,,6721975,762732,4426
devices.registerDevice,,6721975,793668,4166
devices.registerDevice,,6721975,615785,4679
devices.registerDevice,,6721975,669431,4478
devices.registerDevice,,6721975,661883,5032
devices.registerDevice,,6721975,719965,5088
devices.registerDevice,,6721975,745765,5109
devices.registerDevice,,6721975,801916,4889
devices.registerDevice,,6721975,833454,5394
devices.registerDevice,,6721975,1037861,5591
devices.registerDevice,,6721975,654703,5384
devices.registerDevice,,6721975,710728,5750
devices.registerDevice,,6721975,700934,5937
devices.registerDevice,,6721975,757024,6174
devices.registerDevice,,6721975,783695,6051
devices.registerDevice,,6721975,841958,6198
devices.registerDevice,,6721975,871505,6427
devices.registerDevice,,6721975,1078037,6719
devices.registerDevice,,6721975,692635,6637
devices.registerDevice,,6721975,749541,6644
devices.registerDevice,,6721975,738131,6705
devices.registerDevice,,6721975,797070,6628
devices.registerDevice,,6721975,822751,7254
devices.registerDevice,,6721975,879892,6706
devices.registerDevice,,6721975,911818,7095
devices.registerDevice,,6721975,1116118,7866
devices.registerDevice,,6721975,734941,7227
devices.registerDevice,,6721975,787465,7369
devices.registerDevice,,6721975,777057,7390
devices.registerDevice,,6721975,836008,7432
devices.registerDevice,,6721975,861811,7396
devices.registerDevice,,6721975,917951,7495
devices.registerDevice,,6721975,950625,7541
