action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,1121842,14536
devices.registerDevice,,6721975,1137751,14448
devices.registerDevice,,6721975,1153337,15310
devices.registerDevice,,6721975,1092626,14556
devices.registerDevice,,6721975,1159719,15532
devices.registerDevice,,6721975,1144773,14906
devices.registerDevice,,6721975,1145561,15321
devices.registerDevice,,6721975,1147926,14756
devices.registerDevice,,6721975,1156092,14546
devices.registerDevice,,6721975,1176735,15504
devices.registerDevice,,6721975,1190474,15734
devices.registerDevice,,6721975,1173196,16848
devices.registerDevice,,6721975,1136076,15518
devices.registerDevice,,6721975,1202169,17504
devices.registerDevice,,6721975,1182807,16690
devices.registerDevice,,6721975,1186028,17440
devices.registerDevice,,6721975,1196078,17214
devices.registerDevice,,6721975,1215841,17176
devices.registerDevice,,6721975,1233686,17624
devices.registerDevice,,6721975,1170836,16353
devices.registerDevice,,6721975,1237934,17268
devices.registerDevice,,6721975,1183868,16788
devices.registerDevice,,6721975,1224899,16912
devices.registerDevice,,6721975,1226139,16709
devices.registerDevice,,6721975,1238146,16424
devices.registerDevice,,6721975,1257197,17915
devices.registerDevice,,6721975,1272785,17728
devices.registerDevice,,6721975,1249068,19367
devices.registerDevice,,6721975,1278158,19892
devices.registerDevice,,6721975,1283743,18431
devices.registerDevice,,6721975,1261887,18946
devices.registerDevice,,6721975,1265253,17178
devices.registerDevice,,6721975,1276535,18819
devices.registerDevice,,6721975,1294066,17742
devices.registerDevice,,6721975,1310789,17583
devices.registerDevice,,6721975,1288304,19286
devices.registerDevice,,6721975,1321627,20013
devices.registerDevice,,6721975,1301218,23940
devices.registerDevice,,6721975,1301003,19652
devices.registerDevice,,6721975,1304369,18633
devices.registerDevice,,6721975,1317511,17879
devices.registerDevice,,6721975,1333183,17971
devices.updateDeviceLocation,,6721975,453108,4268
devices.updateDeviceLocation,,6721975,527162,4519
devices.updateDeviceLocation,,6721975,618515,5095
devices.updateDeviceLocation,,6721975,173761,1622
devices.updateDeviceLocation,,6721975,514346,4576
devices.updateDeviceLocation,,6721975,534364,4143
devices.updateDeviceLocation,,6721975,476143,4530
devices.updateDeviceLocation,,6721975,568387,4722
devices.updateDeviceLocation,,6721975,484702,5568
devices.updateDeviceLocation,,6721975,540714,5019
devices.updateDeviceLocation,,6721975,503834,5064
devices.updateDeviceLocation,,6721975,568473,5190
devices.updateDeviceLocation,,6721975,240294,1734
devices.updateDeviceLocation,,6721975,500181,5908
devices.updateDeviceLocation,,6721975,539071,5278
devices.updateDeviceLocation,,6721975,573312,5267
devices.updateDeviceLocation,,6721975,455203,5146
devices.updateDeviceLocation,,6721975,548412,5055
devices.updateDeviceLocation,,6721975,631095,4787
devices.updateDeviceLocation,,6721975,632683,4617
devices.updateDeviceLocation,,6721975,470327,4386
devices.updateDeviceLocation,,6721975,490592,4582
devices.updateDeviceLocation,,6721975,523273,4545
devices.updateDeviceLocation,,6721975,600395,4995
devices.updateDeviceLocation,,6721975,468162,4305
devices.updateDeviceLocation,,6721975,174884,1511
devices.updateDeviceLocation,,6721975,536652,5073
