action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,401276,879
devices.registerDevice,,6721975,355011,1407
devices.registerDevice,,6721975,278977,1446
devices.registerDevice,,6721975,353021,1333
devices.registerDevice,,6721975,287651,1552
devices.registerDevice,,6721975,384654,1400
devices.registerDevice,,6721975,296324,1453
devices.registerDevice,,6721975,300662,1768
devices.registerDevice,,6721975,432978,1644
devices.registerDevice,,6721975,373381,1800
devices.registerDevice,,6721975,393132,1532
devices.registerDevice,,6721975,392056,1881
devices.registerDevice,,6721975,406341,2243
devices.registerDevice,,6721975,326685,2441
devices.registerDevice,,6721975,431319,2280
devices.registerDevice,,6721975,443338,2548
devices.registerDevice,,6721975,339698,2146
devices.registerDevice,,6721975,344035,2690
devices.registerDevice,,6721975,417169,2655
devices.registerDevice,,6721975,352710,2850
devices.registerDevice,,6721975,357048,2478
devices.registerDevice,,6721975,443391,2492
devices.registerDevice,,6721975,455359,3339
devices.registerDevice,,6721975,467378,3082
devices.registerDevice,,6721975,506718,3023
devices.registerDevice,,6721975,447121,3217
devices.registerDevice,,6721975,461460,3299
devices.registerDevice,,6721975,470135,3656
devices.registerDevice,,6721975,465084,3592
devices.registerDevice,,6721975,482432,3157
devices.registerDevice,,6721975,494400,3617
devices.registerDevice,,6721975,506419,3511
devices.registerDevice,,6721975,545761,3824
devices.registerDevice,,6721975,486164,3406
devices.registerDevice,,6721975,417781,3418
devices.registerDevice,,6721975,509181,3846
devices.registerDevice,,6721975,426458,3666
devices.registerDevice,,6721975,520384,3721
devices.registerDevice,,6721975,533446,3834
devices.registerDevice,,6721975,545466,3922
devices.registerDevice,,6721975,584807,4315
devices.registerDevice,,6721975,525211,3921
devices.registerDevice,,6721975,525626,4238
devices.registerDevice,,6721975,548229,4906
devices.registerDevice,,6721975,538840,4434
devices.registerDevice,,6721975,560526,4841
devices.registerDevice,,6721975,572495,4768
devices.registerDevice,,6721975,584516,4881
devices.registerDevice,,6721975,623859,5050
devices.registerDevice,,6721975,578603,5021
devices.registerDevice,,6721975,587280,5616
devices.registerDevice,,6721975,491542,5249
devices.registerDevice,,6721975,577891,5646
devices.registerDevice,,6721975,599579,5711
devices.registerDevice,,6721975,611549,5611
devices.registerDevice,,6721975,623569,6070
devices.registerDevice,,6721975,662911,5893
devices.registerDevice,,6721975,621996,6192
devices.registerDevice,,6721975,599394,5935
devices.registerDevice,,6721975,608071,6097
devices.registerDevice,,6721975,530598,5982
devices.registerDevice,,6721975,534938,6355
devices.registerDevice,,6721975,539278,5629
devices.registerDevice,,6721975,662626,8911
devices.registerDevice,,6721975,701970,7375
devices.registerDevice,,6721975,633699,6989
devices.registerDevice,,6721975,556637,6285
devices.registerDevice,,6721975,647130,6583
devices.registerDevice,,6721975,651666,6452
devices.registerDevice,,6721975,673357,6452
devices.registerDevice,,6721975,685327,7375
devices.registerDevice,,6721975,578326,6649
devices.registerDevice,,6721975,741031,6985
devices.registerDevice,,6721975,672760,7580
devices.registerDevice,,6721975,591359,6830
devices.registerDevice,,6721975,704460,7493
devices.registerDevice,,6721975,600041,7343
devices.registerDevice,,6721975,695968,7390
devices.registerDevice,,6721975,724391,7538
devices.registerDevice,,6721975,736413,7594
devices.registerDevice,,6721975,617404,7042
devices.registerDevice,,6721975,711825,7792
devices.registerDevice,,6721975,739185,7952
devices.registerDevice,,6721975,747865,8082
devices.registerDevice,,6721975,634767,7445
devices.registerDevice,,6721975,735034,8118
devices.registerDevice,,6721975,643449,7646
devices.registerDevice,,6721975,647790,8156
devices.registerDevice,,6721975,815918,8251
devices.registerDevice,,6721975,778252,8631
devices.registerDevice,,6721975,768854,8631
devices.registerDevice,,6721975,791273,9066
devices.registerDevice,,6721975,760188,8257
devices.registerDevice,,6721975,774104,8706
devices.registerDevice,,6721975,678179,8419
devices.registerDevice,,6721975,810213,8522
devices.registerDevice,,6721975,852802,8868
devices.registerDevice,,6721975,785626,9053
devices.registerDevice,,6721975,799058,9317
devices.registerDevice,,6721975,807738,9063
devices.registerDevice,,6721975,704229,8867
devices.registerDevice,,6721975,821855,9709
devices.registerDevice,,6721975,712912,8828
devices.registerDevice,,6721975,717254,8838
devices.registerDevice,,6721975,721597,9246
devices.registerDevice,,6721975,824701,9546
devices.registerDevice,,6721975,730280,9395
devices.registerDevice,,6721975,851154,10072
devices.registerDevice,,6721975,738965,9634
devices.registerDevice,,6721975,855691,9998
devices.registerDevice,,6721975,867663,10128
devices.registerDevice,,6721975,884025,9896
devices.registerDevice,,6721975,927699,10596
devices.registerDevice,,6721975,891141,10817
devices.registerDevice,,6721975,885891,10180
devices.registerDevice,,6721975,894573,10879
devices.registerDevice,,6721975,868738,10148
devices.registerDevice,,6721975,894770,10529
devices.registerDevice,,6721975,906744,10372
devices.registerDevice,,6721975,923107,11006
devices.registerDevice,,6721975,966793,10820
devices.registerDevice,,6721975,898524,10959
devices.registerDevice,,6721975,928219,11363
devices.registerDevice,,6721975,938911,11843
devices.registerDevice,,6721975,808447,10643
devices.registerDevice,,6721975,947777,11667
devices.registerDevice,,6721975,817133,10975
devices.registerDevice,,6721975,821476,10733
devices.registerDevice,,6721975,1005878,11551
devices.registerDevice,,6721975,937608,11798
devices.registerDevice,,6721975,972741,12179
devices.registerDevice,,6721975,977999,12132
devices.registerDevice,,6721975,942568,11461
devices.registerDevice,,6721975,968603,11563
devices.registerDevice,,6721975,851879,11299
devices.registerDevice,,6721975,996941,11929
devices.registerDevice,,6721975,1046063,11968
devices.registerDevice,,6721975,976699,12780
devices.registerDevice,,6721975,1011832,12688
devices.registerDevice,,6721975,1017091,12904
devices.registerDevice,,6721975,877942,11406
devices.registerDevice,,6721975,1007694,13136
devices.registerDevice,,6721975,886629,12007
devices.registerDevice,,6721975,1036033,12012
devices.registerDevice,,6721975,1084060,12260
devices.registerDevice,,6721975,1047496,12895
devices.registerDevice,,6721975,904005,11721
devices.registerDevice,,6721975,1060525,14389
devices.registerDevice,,6721975,1016412,12545
devices.registerDevice,,6721975,1065053,13510
devices.registerDevice,,6721975,1050083,13224
devices.registerDevice,,6721975,925727,12684
devices.registerDevice,,6721975,1123157,13652
devices.registerDevice,,6721975,1090934,13993
devices.registerDevice,,6721975,1046819,12969
devices.registerDevice,,6721975,943105,12775
devices.registerDevice,,6721975,1059848,13167
devices.registerDevice,,6721975,1081546,13689
devices.registerDevice,,6721975,956139,13147
devices.registerDevice,,6721975,960483,13210
devices.registerDevice,,6721975,1162257,14369
devices.registerDevice,,6721975,1085307,13977
devices.registerDevice,,6721975,1124784,14440
devices.registerDevice,,6721975,1138726,14573
devices.registerDevice,,6721975,1098949,14379
devices.registerDevice,,6721975,1120647,14040
devices.registerDevice,,6721975,1123943,13791
devices.registerDevice,,6721975,1144649,14334
devices.registerDevice,,6721975,1201361,14943
devices.registerDevice,,6721975,1124411,14890
devices.registerDevice,,6721975,1163889,15031
devices.registerDevice,,6721975,1137441,14800
devices.registerDevice,,6721975,1016970,14028
devices.registerDevice,,6721975,1182361,15589
devices.registerDevice,,6721975,1025661,14880
devices.registerDevice,,6721975,1029994,14395
devices.registerDevice,,6721975,1240467,15753
devices.registerDevice,,6721975,1167857,15645
devices.registerDevice,,6721975,1208254,15700
devices.registerDevice,,6721975,1180889,15456
devices.registerDevice,,6721975,1051735,13892
devices.registerDevice,,6721975,1194520,15094
devices.registerDevice,,6721975,1060427,14216
devices.registerDevice,,6721975,1064772,14668
devices.registerDevice,,6721975,1279577,16790
devices.registerDevice,,6721975,1211309,15834
devices.registerDevice,,6721975,1242109,16270
devices.registerDevice,,6721975,1250797,16230
devices.registerDevice,,6721975,1199921,16356
devices.registerDevice,,6721975,1233631,15956
devices.registerDevice,,6721975,1231493,15618
devices.registerDevice,,6721975,1253295,15744
devices.registerDevice,,6721975,1277966,17704
devices.registerDevice,,6721975,1250422,16586
devices.registerDevice,,6721975,1112582,14764
devices.registerDevice,,6721975,1286488,17136
devices.registerDevice,,6721975,1121275,15156
devices.registerDevice,,6721975,1304042,16827
devices.registerDevice,,6721975,1271702,15996
devices.registerDevice,,6721975,1134303,15477
devices.updateDeviceLocation,,6721975,399058,2640
devices.updateDeviceLocation,,6721975,444975,3504
devices.updateDeviceLocation,,6721975,329628,2224
devices.updateDeviceLocation,,6721975,365827,2667
devices.updateDeviceLocation,,6721975,257307,1819
devices.updateDeviceLocation,,6721975,324562,2123
devices.updateDeviceLocation,,6721975,452882,3874
devices.updateDeviceLocation,,6721975,304128,2821
devices.updateDeviceLocation,,6721975,468933,3619
devices.updateDeviceLocation,,6721975,379324,2877
devices.updateDeviceLocation,,6721975,255879,2428
devices.updateDeviceLocation,,6721975,365930,3095
devices.updateDeviceLocation,,6721975,107191,1034
devices.updateDeviceLocation,,6721975,473281,3534
devices.updateDeviceLocation,,6721975,357831,2759
devices.updateDeviceLocation,,6721975,444282,3604
devices.updateDeviceLocation,,6721975,297613,2375
devices.updateDeviceLocation,,6721975,425005,3220
devices.updateDeviceLocation,,6721975,467909,3338
devices.updateDeviceLocation,,6721975,155043,1119
devices.updateDeviceLocation,,6721975,340992,2928
devices.updateDeviceLocation,,6721975,420534,3424
devices.updateDeviceLocation,,6721975,368421,3140
devices.updateDeviceLocation,,6721975,292798,2822
devices.updateDeviceLocation,,6721975,372759,3822
devices.updateDeviceLocation,,6721975,403989,2970
