action,attribute,txGas,blockGas,time
Regions.registerRegion,1,6721975,155733,298
Regions.addRegionCells,id=1;length=64,6721975,1503438,1755
Regions.addRegionCells,id=1;length=9,6721975,240468,457
Regions.registerRegion,2,6721975,125867,486
Regions.addRegionCells,id=2;length=5,6721975,160200,362
Regions.registerRegion,3,6721975,125927,458
Regions.addRegionCells,id=3;length=7,6721975,205734,473
Regions.registerRegion,4,6721975,166306,506
Regions.addRegionCells,id=4;length=4,6721975,137433,375
Regions.registerRegion,5,6721975,125891,395
Regions.addRegionCells,id=5;length=6,6721975,182967,398
Regions.registerRegion,6,6721975,125903,460
Regions.addRegionCells,id=6;length=12,6721975,323769,587
Regions.registerRegion,7,6721975,125687,338
Regions.addRegionCells,id=7;length=17,6721975,437604,738
Regions.registerRegion,8,6721975,125687,463
Regions.addRegionCells,id=8;length=22,6721975,547240,844
